DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8371633,1,1,1,1,416.55937761
8371633,1,2,1,1,416.55937761
8371633,1,3,1,1,416.55937761
8371633,1,4,1,1,416.55937761
8371634,1,1,1,1,345.60566908
8371650,1,1,0,1,20.057554766
8371651,1,1,1,1,51.146166601
8371651,1,2,1,1,51.146166601
8371651,1,3,1,1,51.146166601
8371651,1,4,1,1,51.146166601
8371655,1,3,1,1,22.358746588
8371659,1,3,0,1,20.057554766
8371661,1,1,1,1,23.629129917
8371663,1,3,1,1,33.986445418
8371669,1,1,1,1,23.629129917
8371674,1,2,1,1,25.26727846
8371678,1,1,1,1,89.3161362
8371678,1,2,1,1,89.3161362
8371678,1,3,1,1,89.3161362
8371678,1,4,1,1,89.3161362
8371685,1,1,1,1,38.524282431
8371687,1,1,1,1,58.107492146
8371693,1,1,1,1,101.06911384
8371693,1,2,1,1,101.06911384
8371694,1,2,1,1,127.03833289
8371696,1,1,1,1,114.18931293
8371696,1,2,1,1,114.18931293
8371696,1,3,1,1,114.18931293
8371708,1,1,1,1,89.007519453
8371708,1,3,1,1,89.007519453
8371710,1,2,1,1,36.38887754
8371710,1,3,1,1,36.38887754
8371711,1,1,1,1,40.543593174
8371716,1,1,1,1,27.948433235
8371716,1,2,1,1,27.948433235
8371729,1,1,1,1,2047.6734519
8371740,1,1,1,1,2217.7321942
8371740,1,2,1,1,2217.7321942
8371740,1,3,1,1,2217.7321942
8371745,1,2,1,1,3622.8731119
8371747,1,2,1,1,2763.613778
8371751,1,1,1,1,5321.6761115
8371769,1,1,1,1,1966.5020389
8371771,1,2,1,1,2855.7139184
8371779,1,1,1,1,235.29371455
8371779,1,2,1,1,235.29371455
8371782,1,3,0,1,229.33257658
8371783,1,1,1,1,455.80303261
8371797,1,1,1,1,221.1048165
8371797,1,2,1,1,221.1048165
8371799,1,2,1,1,531.80786161
8371800,1,1,1,1,257.83122012
8371805,1,1,1,1,116.73913411
8371805,1,3,1,1,116.73913411
8371808,1,1,1,1,106.19845459
8371808,1,2,1,1,106.19845459
8371810,1,1,1,1,114.91120456
8371812,1,2,1,1,157.9630118
8371812,1,3,1,1,157.9630118
8371814,1,1,1,1,112.81018509
8371814,1,2,1,1,112.81018509
8371814,1,3,1,1,112.81018509
8371814,1,4,1,1,112.81018509
8371822,1,2,1,1,211.49537403
8371832,1,1,0,1,120.16771324
8371832,1,2,0,1,120.16771324
8371837,1,2,1,1,221.73176045
8371843,1,1,1,1,215.55629193
8371845,1,1,1,1,414.65927476
8371857,1,1,0,1,339.9310351
8371865,1,1,1,1,107.91100517
8371865,1,2,1,1,107.91100517
8371865,1,3,1,1,107.91100517
8371874,1,1,1,1,172.21255772
8371874,1,2,1,1,172.21255772
8371887,1,1,1,1,188.01398433
8371889,1,1,1,1,464.6290501
8371893,1,1,1,1,485.44438188
8371893,1,2,1,1,485.44438188
8371893,1,3,1,1,485.44438188
8371894,1,1,1,1,159.09339949
8371894,1,4,1,1,159.09339949
8371896,1,1,1,1,239.50985172
8371896,1,3,1,1,239.50985172
8371896,1,4,1,1,239.50985172
8371897,1,1,1,1,338.47460487
8371899,1,2,1,1,464.19531521
8371900,1,2,1,1,410.9513947
8371901,1,1,1,1,601.85844766
8371902,1,1,1,1,317.0228831
8371904,1,1,1,1,205.28180579
8371904,1,2,1,1,205.28180579
8371906,1,1,1,1,371.06487916
8371908,1,1,1,1,601.85844766
8371916,1,2,1,1,225.48896292
