"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8409982,1,2,2,5,1,3,5,2,1259.93784821037,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,2519.87569642074,NA,NA,NA,NA,NA
8409983,1,3,3,5,1,3,5,3,1274.86784072759,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.24,0,3824.60352218277,NA,NA,NA,NA,NA
8409984,1,4,2,5,1,3,5,4,2071.13270832397,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0.34,1,8284.53083329588,NA,NA,NA,NA,NA
8409985,1,2,1,5,1,3,5,2,1259.93784821037,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,2519.87569642074,NA,NA,NA,NA,NA
8409986,1,2,1,1,1,3,5,2,559.972376982388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1119.94475396478,NA,NA,NA,NA,NA
8409987,1,5,2,1,1,3,5,5,559.052968056008,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25,0,2795.26484028004,NA,NA,NA,NA,NA
8409988,1,4,3,5,1,3,5,4,542.367100690079,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0,2169.46840276032,NA,NA,NA,NA,NA
8409989,1,3,3,5,1,3,5,3,608.191350194115,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.39,1,1824.57405058235,NA,NA,NA,NA,NA
8409991,1,2,1,1,1,3,5,2,559.972376982388,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,1119.94475396478,NA,NA,NA,NA,NA
8409992,1,1,1,5,1,3,5,1,856.893732706893,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.34,1,856.893732706893,20250731,1,2,2,2
8409993,1,3,2,5,1,3,5,3,863.083991685443,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.39,1,2589.25197505633,NA,NA,NA,NA,NA
8409994,1,1,1,5,1,3,5,1,856.893732706893,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.14,0,856.893732706893,20250731,1,2,2,2
8409995,1,2,1,1,1,3,5,2,559.972376982388,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,1119.94475396478,NA,NA,NA,NA,NA
8409996,1,1,1,1,1,3,5,1,632.571943944211,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4,1,632.571943944211,20250731,2,2,2,2
8409997,1,3,1,1,10,3,5,3,958.433951004926,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.19,0,2875.30185301478,NA,NA,NA,NA,NA
8409998,1,4,3,2,2,3,5,4,93.9344594799072,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,375.737837919629,NA,NA,NA,NA,NA
8409999,1,2,1,5,1,3,5,2,93.352708706168,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,186.705417412336,NA,NA,NA,NA,NA
8410000,1,3,2,5,2,3,5,3,108.577859474427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04,0,325.733578423281,NA,NA,NA,NA,NA
8410001,1,1,1,5,2,3,5,1,105.222148186384,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.14,0,105.222148186384,20250731,1,1,2,2
8410002,1,2,1,1,2,3,5,2,84.281554705914,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3,0,168.563109411828,NA,NA,NA,NA,NA
8410003,1,2,1,5,2,3,5,2,106.63653925821,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.19,0,213.27307851642,NA,NA,NA,NA,NA
8410004,1,3,2,5,2,3,5,3,84.281554705914,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,252.844664117742,NA,NA,NA,NA,NA
8410005,1,2,1,1,2,3,5,2,120.447298954643,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,240.894597909286,NA,NA,NA,NA,NA
8410006,1,4,2,5,1,3,5,4,120.502120583992,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.24,0,482.008482335968,NA,NA,NA,NA,NA
8410007,1,1,1,5,2,3,5,1,84.281554705914,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.34,1,84.281554705914,20250731,2,2,2,2
8410008,1,1,1,5,6,3,5,1,105.222148186384,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.38,1,105.222148186384,20250731,2,2,2,2
8410009,1,2,2,1,2,3,5,2,93.352708706168,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,186.705417412336,NA,NA,NA,NA,NA
8410010,1,3,2,2,6,3,5,3,84.281554705914,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.14,0,252.844664117742,NA,NA,NA,NA,NA
8410011,1,2,1,5,6,3,5,2,93.352708706168,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.28,0,186.705417412336,NA,NA,NA,NA,NA
8410012,1,2,1,2,6,3,5,2,93.352708706168,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.34,1,186.705417412336,NA,NA,NA,NA,NA
8410013,1,2,1,2,2,3,5,2,84.281554705914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.563109411828,NA,NA,NA,NA,NA
