DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
8370344,1,1,1,1,1,2,1
8370345,4,1,1,1,6,1,2
8370346,1,1,1,1,6,1,2
8370347,1,1,1,6,6,1,1
8370348,1,1,1,5,6,2,2
8370349,1,1,1,1,4,2,2
8370350,3,1,1,6,6,2,2
8370351,2,1,1,5,6,2,2
8370352,1,1,1,1,4,2,2
8370353,1,1,1,5,6,2,2
8370354,1,1,1,5,6,2,2
8370355,4,1,1,5,6,2,2
8370356,5,1,1,1,4,1,1
8370357,3,1,1,1,4,1,1
8370358,3,1,1,1,4,2,1
8370360,1,1,1,1,6,1,1
8370361,1,1,1,1,4,1,1
8370364,3,1,1,5,6,1,2
8370365,2,1,1,1,4,1,1
8370367,1,1,1,1,4,1,1
8370368,1,1,1,5,6,1,1
8370371,4,1,1,1,4,1,1
8370372,1,1,1,5,6,1,2
8370373,4,1,1,1,4,1,1
8370374,2,1,1,1,4,1,1
8370375,5,1,1,1,4,1,1
8370376,10,1,1,1,6,1,1
8370377,5,1,1,1,4,1,1
8370378,3,1,1,1,4,1,1
8370379,4,1,1,1,4,1,1
8370380,4,1,1,1,4,1,1
8370381,2,1,1,1,4,1,1
8370382,2,1,1,1,6,1,1
8370383,3,1,1,1,6,1,1
8370384,3,1,1,1,6,1,1
8370385,4,1,1,1,4,1,1
8370386,2,1,1,1,4,1,1
8370387,3,1,1,1,1,1,1
8370389,2,1,1,1,4,1,1
8370390,3,1,1,1,4,1,1
8370391,4,1,1,1,4,1,1
8370392,4,1,1,1,4,1,1
8370393,1,1,1,1,6,1,1
8370394,2,1,1,1,4,1,1
8370395,2,1,1,1,4,1,1
8370396,3,1,1,1,4,1,1
8370397,3,1,1,1,4,1,1
8370398,5,1,1,1,4,1,1
8370399,3,1,1,1,4,1,1
8370400,1,1,1,1,6,2,1
8370402,3,1,1,1,6,2,1
8370403,4,1,1,1,6,2,1
8370404,3,1,1,1,7,2,1
8370405,2,1,1,8,4,1,1
8370406,3,1,1,1,4,1,1
8370407,4,1,1,1,4,1,1
8370408,3,1,1,1,4,1,1
8370409,2,1,1,1,4,1,1
8370410,3,1,1,1,4,1,1
8370411,4,1,1,1,6,1,1
8370412,3,1,1,1,4,1,1
8370413,4,1,1,1,4,1,1
8370415,3,1,1,1,4,1,1
8370416,4,1,1,1,4,1,1
8370417,2,1,1,1,4,1,1
8370418,1,1,1,1,4,1,1
8370419,2,1,1,1,6,1,1
8370420,2,1,1,1,6,1,1
8370423,2,1,1,1,6,1,1
8370424,5,1,1,1,4,1,1
8370425,3,1,1,1,4,1,1
8370427,3,1,1,1,4,1,1
8370429,4,1,1,1,4,1,1
8370430,1,1,1,1,4,1,1
8370431,3,1,1,1,4,1,1
8370432,2,1,1,1,4,1,1
8370433,2,1,1,1,4,1,1
8370434,3,1,1,1,6,1,1
8370435,1,1,1,1,6,1,1
8370436,2,1,1,1,4,1,1
8370437,3,1,1,1,4,1,1
8370438,1,1,1,1,4,1,1
8370439,1,1,1,1,4,1,1
8370440,3,1,1,1,4,1,1
8370441,2,1,1,1,4,1,1
8370442,4,1,1,1,4,1,1
8370443,6,1,1,1,6,1,1
8370444,3,1,1,1,6,1,1
8370445,2,1,1,1,6,1,1
8370446,2,1,1,1,4,1,1
8370447,6,1,1,1,4,1,1
8370448,3,1,1,1,4,1,1
8370449,1,1,1,1,4,1,1
8370450,4,1,1,1,4,1,1
8370451,1,1,1,1,4,1,1
8370457,3,1,1,1,4,1,1
8370458,2,1,1,1,4,1,1
8370460,1,1,3,1,6,2,1
8370461,3,1,3,1,6,2,1
8370462,1,1,3,5,5,2,1
8370463,3,1,3,1,6,2,1
8370464,4,1,3,1,4,2,1
8370465,2,1,3,5,6,2,2
8370466,2,1,3,1,4,2,2
8370467,3,1,3,1,4,1,1
8370468,2,1,3,1,5,2,1
8370469,6,1,3,2,5,2,2
8370471,4,1,3,5,4,2,1
8370473,3,1,3,1,6,2,1
8370474,2,1,3,1,4,2,2
8370475,3,1,3,1,4,2,2
8370476,2,1,3,1,4,2,2
8370477,1,1,3,5,5,2,1
8370478,5,1,3,1,4,2,2
8370479,2,1,3,1,4,1,1
8370480,1,1,3,1,6,2,1
8370481,2,1,3,2,5,2,1
8370483,1,1,3,4,7,2,1
8370484,1,1,3,1,4,2,2
8370485,2,1,3,1,6,2,2
8370488,3,1,3,7,6,1,1
8370490,2,1,3,5,5,2,1
8370491,1,1,3,1,6,1,1
8370494,2,1,3,1,4,2,1
8370495,3,1,3,5,5,2,1
