DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P5010	P8526	P8530	FEX_C	ALFABETISMO	LOGRO_EDUCATIVO	INASISTENCIA_ESCOLAR	REZAGO_ESCOLAR	ATENCION_INTEGRAL	TRABAJO_INFANTIL	DESEMPLEO_LARGA_DURACION	EMPLEO_FORMAL	ASEGURAMIENTO_SALUD	BARRERAS_ACCESO_SALUD	PERIODO	REGION	PERSONAS	ACUEDUCTO	ALCANTARILLADO	PISOS	PAREDES	P5010_imp	HACINAMIENTO	IPM	POBRE	FEXP
2974847	1	1	3	1	1	675.804469408497	0	1	0	0	0	0	0	0	0	0	20140939	3	4	0	0	0	0	3	0	0.1	0	2703.21787763399
2974848	1	1	2	1	1	2154.25468425313	0	1	0	1	0	0	0	0	0	0	20140939	2	5	0	0	0	0	2	0	0.15	0	10771.2734212657
2974848	2	1	1	1	1	2154.25468425313	0	0	0	0	0	0	0	0	0	0	20140939	2	1	0	0	0	0	1	0	0	0	2154.25468425313
2974849	1	1	3	1	1	491.955293294131	0	0	1	1	0	0	0	1	1	0	20140939	9	6	0	0	0	0	3	0	0.3	0	2951.73175976478
2974850	1	1	1	2	6	508.010893442635	1	1	0	0	0	0	0	1	0	0	20140939	2	4	1	0	0	0	1	1	0.38	1	2032.04357377054
2974851	1	1	2	2	6	670.653312354124	0	1	0	1	0	0	0	1	0	0	20140939	2	5	1	0	0	0	2	0	0.29	0	3353.26656177062
2974852	1	1	3	2	6	581.447452509988	1	1	0	1	0	0	0	1	0	0	20140939	2	8	1	0	0	0	3	0	0.39	1	4651.5796200799
2974853	1	1	2	1	1	478.850613612173	0	1	0	0	0	0	0	1	0	0	20140939	9	5	0	0	0	0	2	0	0.2	0	2394.25306806086
2974854	1	1	3	1	1	2339.42766051242	0	1	1	1	0	0	0	0	0	0	20140939	2	4	0	0	0	0	3	0	0.2	0	9357.7106420497
2974854	2	1	1	1	1	2339.42766051242	0	1	0	1	0	0	0	1	0	0	20140939	2	5	0	0	0	0	1	1	0.29	0	11697.1383025621
2974855	1	1	1	1	1	673.904094865288	0	1	0	0	0	0	0	1	0	0	20140939	2	4	0	0	0	0	1	1	0.24	0	2695.61637946115
2974856	1	1	1	1	1	1284.09747919751	0	1	0	0	0	0	0	1	0	0	20140939	2	2	0	0	0	0	1	0	0.2	0	2568.19495839502
2974857	1	1	2	1	1	1217.56563649401	0	0	0	0	0	0	0	1	0	0	20140939	2	4	0	0	0	0	2	0	0.1	0	4870.26254597602
2974857	2	1	2	1	1	1217.56563649401	0	0	0	0	0	0	0	1	0	0	20140939	2	5	0	0	0	0	2	0	0.1	0	6087.82818247003
2974858	1	1	2	2	6	211.425356998271	1	1	0	0	0	0	0	1	0	0	20140939	2	5	1	0	0	0	2	0	0.34	1	1057.12678499136
2974859	1	1	1	2	6	454.875616823442	0	1	0	0	0	0	0	1	0	0	20140939	2	1	1	0	0	0	1	0	0.24	0	454.875616823442
2974860	1	1	2	1	1	405.475262659909	1	1	0	0	0	0	0	1	0	0	20140939	2	2	0	0	1	0	2	0	0.34	1	810.950525319818
2974860	2	1	2	1	1	405.475262659909	0	1	0	0	0	0	0	1	0	0	20140939	2	2	0	0	1	0	2	0	0.24	0	810.950525319818
2974861	1	1	2	1	1	739.160133164083	0	0	0	0	0	0	0	1	0	0	20140939	3	3	0	0	0	0	2	0	0.1	0	2217.48039949225
2974862	1	1	3	1	1	642.465654609906	0	1	0	0	0	0	0	1	0	0	20140939	3	6	0	0	0	0	3	0	0.2	0	3854.79392765944
2974863	1	1	2	1	1	591.478181738245	0	0	0	0	0	0	0	0	0	0	20140939	3	3	0	0	0	0	2	0	0	0	1774.43454521473
2974864	1	1	3	1	1	1328.00487463642	0	0	0	0	0	0	0	1	0	0	20140939	2	3	0	0	0	0	3	0	0.1	0	3984.01462390925
2974865	1	1	1	1	1	720.108385214234	0	0	0	0	0	0	0	0	0	0	20140939	3	2	0	0	0	0	1	0	0	0	1440.21677042847
2974866	1	1	1	1	1	750.162531657829	0	1	0	0	0	0	0	1	0	0	20140939	3	2	0	0	0	0	1	0	0.2	0	1500.32506331566
2974867	1	1	1	1	1	1884.40589767524	0	0	0	0	1	0	0	1	0	0	20140939	2	5	0	0	0	0	1	1	0.19	0	9422.02948837619
2974868	1	1	3	1	1	1155.61906078736	0	0	0	0	0	0	0	1	0	0	20140939	3	5	0	0	0	0	3	0	0.1	0	5778.09530393679
2974869	1	1	2	1	1	1635.77249227264	0	0	0	1	1	0	0	1	0	0	20140939	2	3	0	0	0	0	2	0	0.2	0	4907.31747681792
2974870	1	1	2	1	1	783.77307084666	0	1	0	0	0	0	0	1	0	0	20140939	3	4	0	0	0	0	2	0	0.2	0	3135.09228338664
2974871	1	1	1	1	1	2561.62171465018	0	1	0	0	1	0	1	1	0	0	20140939	2	4	0	0	0	0	1	1	0.39	1	10246.4868586007
2974872	1	1	2	1	1	1481.69131508835	0	1	0	0	0	0	1	1	0	0	20140939	2	3	0	0	0	0	2	0	0.3	0	4445.07394526506
