DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P3	P4005	P4015	P8520S3	P8520S5
2975506	1	1	3	1	6	2	1
2975507	1	1	3	5	7	2	1
2975508	1	1	3	5	7	2	1
2975509	1	1	3	3	7	2	1
2975510	1	1	3	5	6	2	2
2975511	1	1	3	5	6	2	2
2975512	1	1	3	2	6	2	2
2975513	1	1	1	1	4	1	2
2975514	1	1	3	1	4	2	2
2975515	1	1	3	2	6	2	2
2975516	1	1	3	1	7	2	2
2975517	1	1	1	1	4	1	1
2975518	1	1	1	1	4	1	2
2975519	1	1	1	1	6	1	1
2975521	1	1	1	1	6	1	1
2975523	1	1	3	1	6	2	1
2975524	1	1	1	1	4	1	1
2975525	1	1	3	2	7	2	1
2975526	1	1	3	2	6	2	2
2975527	1	1	1	1	4	1	1
2975528	1	1	1	1	4	1	1
2975529	1	1	1	1	4	1	1
2975530	1	1	3	1	6	2	2
2975531	1	1	1	1	6	1	1
2975532	1	1	1	1	4	1	1
2975533	1	1	1	1	6	1	1
2975534	1	1	1	1	4	1	1
2975535	1	1	2	1	4	1	1
2975536	1	1	1	1	6	1	1
2975538	1	1	1	1	6	1	1
2975539	1	1	2	1	6	1	1
2975540	1	1	1	1	6	1	1
2975541	1	1	1	1	4	1	1
2975542	1	1	1	1	6	1	1
2975544	1	1	1	1	6	1	1
2975545	1	1	1	1	4	1	1
2975546	1	1	1	1	6	1	1
2975548	1	1	1	1	4	1	1
2975549	1	1	1	1	4	1	1
2975550	1	1	1	1	6	1	1
2975551	1	1	1	1	6	1	1
2975552	1	1	1	1	6	1	1
2975554	1	1	1	1	6	1	1
2975555	1	1	1	1	4	1	1
2975556	1	1	1	1	6	1	1
2975558	1	1	1	1	6	1	1
2975559	1	1	1	1	4	1	1
2975560	1	1	1	1	4	1	1
2975561	1	1	1	1	4	1	1
2975562	1	1	1	1	4	1	1
2975563	1	1	1	1	4	1	1
2975564	1	1	1	1	4	1	1
2975565	1	1	1	1	4	1	1
2975566	1	1	1	1	6	1	1
2975567	1	1	1	1	4	1	1
2975568	1	1	1	1	4	1	1
2975569	1	1	1	1	4	1	1
2975570	1	1	1	1	4	1	1
2975571	1	1	1	1	4	1	1
2975572	1	1	1	1	4	1	1
2975573	1	1	1	5	7	1	1
2975574	1	1	1	1	4	1	1
2975575	1	1	1	1	4	1	1
2975576	1	1	1	1	4	1	1
2975577	1	1	1	1	6	1	1
2975578	1	1	1	1	4	1	1
2975580	1	1	1	1	4	1	1
2975581	1	1	1	1	4	1	1
2975582	1	1	1	1	4	1	1
2975583	1	1	1	1	6	1	1
2975584	1	1	1	1	4	1	1
2975585	1	1	1	1	6	1	1
2975586	1	1	1	1	6	1	1
2975587	1	1	1	1	4	1	1
2975588	1	1	1	1	4	1	1
2975589	1	1	1	1	4	1	1
2975590	1	1	1	1	4	1	1
2975591	1	1	1	1	4	1	1
2975592	1	1	1	1	4	1	1
2975593	1	1	1	1	4	1	1
2975594	1	1	1	1	4	1	1
2975595	1	1	1	1	4	1	1
2975597	1	1	1	1	4	1	1
2975599	1	1	3	1	6	2	1
2975601	1	1	1	1	6	1	1
2975602	1	1	1	1	6	2	1
2975603	1	1	1	1	6	2	1
2975604	1	1	1	1	6	1	1
2975605	1	1	1	1	4	1	1
2975606	1	1	3	5	7	2	1
2975607	1	1	3	1	6	2	1
2975608	1	1	3	5	7	2	1
2975609	1	1	1	1	6	2	1
2975610	1	1	1	1	4	1	1
2975611	1	1	3	5	7	2	1
2975613	1	1	1	1	4	1	1
2975614	1	1	3	5	7	2	1
2975615	1	1	3	1	6	2	1
2975616	1	1	1	1	6	1	1
2975617	1	1	1	1	6	1	1
2975618	1	1	3	5	7	2	1
2975620	1	1	1	5	5	1	1
2975621	1	1	3	2	7	2	1
2975622	1	1	1	1	4	1	1
2975623	1	1	1	1	6	1	1
2975624	1	1	1	1	4	1	1
2975625	1	1	1	1	4	1	1
2975627	1	1	3	5	7	2	1
2975628	1	1	1	1	5	1	1
2975629	1	1	1	1	4	1	1
2975630	1	1	1	1	4	1	1
2975631	1	1	1	1	4	1	1
2975632	1	1	1	1	4	1	1
2975633	1	1	1	1	6	1	1
2975634	1	1	3	5	6	2	1
2975635	1	1	1	1	6	1	1
2975636	1	1	1	1	4	1	1
2975637	1	1	1	1	4	1	1
2975638	1	1	1	1	4	1	1
2975639	1	1	1	1	4	1	1
2975642	1	1	1	1	4	1	1
2975643	1	1	1	1	4	1	1
2975644	1	1	1	1	4	1	1
2975645	1	1	1	1	4	1	1
2975646	1	1	1	1	4	1	1
2975647	1	1	1	1	2	1	1
2975648	1	1	1	1	4	1	1
2975649	1	1	1	1	4	1	1
2975650	1	1	1	1	4	1	1
2975651	1	1	1	1	5	1	1
2975652	1	1	1	1	5	2	1
2975653	1	1	1	1	4	1	1
2975654	1	1	1	1	4	1	1
2975655	1	1	1	1	4	1	1
2975656	1	1	1	1	4	1	1
2975657	1	1	1	1	4	1	1
2975658	1	1	1	1	6	2	1
2975659	1	1	1	1	6	1	1
2975660	1	1	1	1	4	1	1
2975661	1	1	1	1	4	1	1
2975662	1	1	1	1	6	1	1
2975663	1	1	1	1	4	1	1
2975664	1	1	1	1	4	1	1
2975665	1	1	1	1	4	1	1
2975666	1	1	1	1	4	1	1
2975667	1	1	1	1	4	1	1
2975668	1	1	1	1	4	1	1
2975669	1	1	1	1	4	1	1
2975671	1	1	1	7	5	1	1
2975672	1	1	1	1	4	1	1
2975673	1	1	1	1	4	1	1
2975674	1	1	1	1	4	1	1
2975675	1	1	1	1	4	1	1
2975676	1	1	1	3	5	1	1
2975677	1	1	1	1	4	1	1
2975678	1	1	1	1	4	1	1
2975679	1	1	1	1	5	1	1
2975680	1	1	1	1	6	1	1
2975681	1	1	1	1	4	1	1
2975682	1	1	1	1	4	1	1
2975683	1	1	1	1	4	1	1
2975684	1	1	1	1	4	1	1
2975685	1	1	1	1	4	1	1
2975686	1	1	1	1	6	1	1
2975687	1	1	1	1	4	1	1
2975688	1	1	1	1	6	1	1
2975689	1	1	1	7	5	1	1
2975690	1	1	1	3	5	1	1
2975691	1	1	1	1	4	1	1
2975692	1	1	1	1	4	1	1
2975694	1	1	1	1	4	1	1
2975695	1	1	1	1	4	1	1
2975696	1	1	1	1	4	1	1
2975697	1	1	1	1	4	2	1
2975698	1	1	1	1	6	1	1
2975699	1	1	1	1	4	1	1
2975700	1	1	1	1	4	1	1
2975701	1	1	1	1	4	2	1
2975702	1	1	1	1	4	1	1
2975703	1	1	1	1	2	1	1
2975704	1	1	1	3	5	1	1
2975706	1	1	1	1	6	1	1
2975707	1	1	1	1	4	1	1
2975708	1	1	1	1	4	1	1
2975709	1	1	1	1	4	1	1
2975710	1	1	1	1	4	1	1
2975711	1	1	3	5	6	2	2
2975712	1	1	3	5	5	2	2
2975713	1	1	2	5	5	2	1
2975714	1	1	3	5	6	2	2
2975715	1	1	1	1	4	1	1
2975716	1	1	1	1	4	1	1
2975717	1	1	2	5	5	2	2
2975718	1	1	1	1	4	1	1
2975720	1	1	2	5	5	2	2
2975721	1	1	3	1	6	2	2
2975722	1	1	3	5	6	2	2
2975723	1	1	3	5	7	2	1
2975724	1	1	3	1	6	2	2
2975725	1	1	1	1	4	1	1
2975726	1	1	3	1	6	2	2
2975727	1	1	3	1	4	2	2
2975728	1	1	1	1	7	1	1
2975729	1	1	1	1	4	1	1
2975730	1	1	3	9	7	2	2
2975731	1	1	1	1	6	1	1
2975732	1	1	1	1	7	1	1
2975733	1	1	1	1	6	1	1
2975734	1	1	1	1	4	1	1
2975735	1	1	3	1	6	2	2
2975736	1	1	1	1	4	1	1
2975738	1	1	1	1	4	1	1
2975739	1	1	1	1	6	1	1
2975740	1	1	1	1	6	1	1
2975741	1	1	1	1	4	1	1
2975742	1	1	1	1	4	1	1
2975743	1	1	1	1	4	1	1
2975744	1	1	1	1	4	1	1
2975745	1	1	1	1	4	1	1
2975746	1	1	1	1	4	1	1
2975747	1	1	1	4	5	1	1
2975748	1	1	1	3	5	1	1
2975749	1	1	1	1	2	1	1
2975750	1	1	1	1	4	1	1
2975751	1	1	1	1	4	1	1
2975752	1	1	1	1	4	1	1
2975753	1	1	1	1	4	1	1
2975754	1	1	1	1	4	1	1
2975755	1	1	1	1	4	1	1
2983150	1	1	1	1	6	1	1
2983151	1	1	1	1	4	1	1
2983152	1	1	1	1	4	1	1
2983153	1	1	1	1	6	1	1
2983154	1	1	1	1	4	1	1
2983155	1	1	1	1	1	1	1
2983156	1	1	1	1	4	1	1
2983157	1	1	1	1	4	1	1
2983158	1	1	1	1	4	1	1
2983159	1	1	1	1	4	1	1
2983160	1	1	1	1	4	1	1
2983161	1	1	1	1	4	1	1
2983162	1	1	1	1	4	1	1
2983163	1	1	1	1	4	1	1
2983164	1	1	1	1	1	1	1
2983165	1	1	1	1	6	1	1
2983166	1	1	1	1	6	1	1
2983167	1	1	1	1	6	1	1
2983169	1	1	1	1	4	1	1
2983170	1	1	1	1	6	1	1
2983172	1	1	1	1	6	1	1
2983173	1	1	1	1	4	1	1
2983174	1	1	1	1	4	1	1
2983175	1	1	1	1	6	1	1
2983176	1	1	1	1	4	1	1
2983177	1	1	1	1	4	1	1
2983178	1	1	1	1	6	1	1
2983180	1	1	1	1	7	1	1
2983182	1	1	1	1	4	1	1
2983183	1	1	1	1	4	1	1
2983184	1	1	1	1	4	1	1
2983185	1	1	1	1	4	1	1
2983186	1	1	1	1	4	1	1
2983187	1	1	1	1	4	1	1
2983188	1	1	1	8	7	1	1
2983189	1	1	1	1	4	1	1
2983190	1	1	1	1	4	1	1
2983191	1	1	1	1	6	1	1
2983194	1	1	1	1	4	1	1
2983195	1	1	1	1	4	1	1
2983196	1	1	1	1	4	1	1
2983197	1	1	1	1	4	1	1
2983198	1	1	1	1	3	1	1
2983200	1	1	1	1	6	1	1
2983201	1	1	1	1	6	1	1
2983203	1	1	1	1	4	1	1
2983204	1	1	1	1	4	1	1
2983205	1	1	1	1	6	1	1
2983206	1	1	1	1	4	1	1
2983207	1	1	1	1	4	1	1
2983208	1	1	1	1	4	1	1
2983209	1	1	1	1	4	1	1
2983210	1	1	1	1	6	1	1
2983211	1	1	1	1	4	1	1
2983212	1	1	1	1	6	1	1
2983213	1	1	1	1	4	1	1
2983214	1	1	1	1	4	1	1
2983215	1	1	1	1	4	1	1
