PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2992355	1	1	1	83	210.505404579188	1	2				1	2	3	1				1					121		2
20140939	2992355	2	1	2	70	210.505404579188	1	2				1	2	3	2				4	2	2	2				2
20140939	2992355	3	1	3	53	210.505404579188	1	2				2	2	1	0				4	2	2	1		121		2
20140939	2992355	4	1	4	26	210.505404579188	1	2				1	2	3	5				1					121		2
20140939	2992355	5	1	5	25	210.505404579188	1	2				1	2	3	5				1					121		2
20140939	2992356	1	1	1	47	3285.46198352016	1	2				1	2	3	5				1					5211		1
20140939	2992356	2	1	2	43	3285.46198352016	1	2				1	2	5	11				1					5211		1
20140939	2992356	3	1	3	21	3285.46198352016	1	2				1	1			6	2	2	3	2	2	2				2
20140939	2992356	4	1	4	18	3285.46198352016	1	2				1	1			4	11	1	3	2	2	2				2
20140939	2992357	1	1	1	61	3796.64901634725	1	1	1			1	2	3	2				4	2	2	2				2
20140939	2992357	2	1	2	2	3796.64901634725	1	1	1	1	1															
20140939	2992358	1	1	1	56	765.736401106368	1	2				1	2	4	8				1					6599		2
20140939	2992358	2	1	2	51	765.736401106368	1	2				1	2	4	7				4	2	2	2				2
20140939	2992358	3	1	3	25	765.736401106368	1	2				1	2	5	11				6	2	1			9302		2
20140939	2992358	4	1	4	15	765.736401106368	1	1	1			1	1			3	9	2	3	2	2	2				2
20140939	2992358	5	1	5	31	765.736401106368	1	2				1	2	5	11				1					6599		2
20140939	2992358	6	1	6	14	765.736401106368	1	2				1	1			3	9	2	3	2	2	2				2
20140939	2992358	7	1	7	10	765.736401106368	1	2				1	1			2	4	1								
20140939	2992358	8	1	8	30	765.736401106368	1	2				1	2	11	5				1					5135		1
20140939	2992358	9	1	9	4	765.736401106368	1	2		1	1															
20140939	2992358	10	1	10	26	765.736401106368	1	2				1	2	9	3				1					5233		1
20140939	2992358	11	1	11	6	765.736401106368	1	2				2	1			2	1	1								
20140939	2992359	1	1	1	48	409.252971906736	1	1	1			2	2	1	0				1					140		2
20140939	2992359	2	1	2	55	409.252971906736	1	1	1			2	2	1	0				1					3699		2
20140939	2992360	1	1	1	50	267.402331050963	1	2				1	2	3	2				1					117		2
20140939	2992360	2	1	2	47	267.402331050963	1	2				1	2	3	2				4	1				111		2
20140939	2992360	3	1	3	20	267.402331050963	1	2				1	2	5	11				1					111		2
20140939	2992360	4	1	4	26	267.402331050963	1	2				1	2	3	5				1					111		2
20140939	2992360	5	1	5	35	267.402331050963	1	2				1	2	3	5				1					6042		2
20140939	2992360	6	1	6	9	267.402331050963	1	2				1	1			2	3	2								
20140939	2992361	1	1	1	68	1478.17977090899	1	2				1	2	4	6				4	2	2	2				2
20140939	2992362	1	1	1	75	2343.01559609008	1	2				1	2	3	3				4	2	2	2				3
20140939	2992362	2	1	2	62	2343.01559609008	1	2				1	2	3	2				4	2	2	2				2
20140939	2992363	1	1	1	70	107.25966776709	1	2				1	2	3	4				4	2	2	2				2
20140939	2992363	2	1	2	75	107.25966776709	1	1	8			1	2	3	2				1					111		2
20140939	2992363	3	1	3	38	107.25966776709	1	2				1	2	3	5				4	2	2	2				2
20140939	2992363	4	1	4	49	107.25966776709	1	2				1	2	3	3				1					111		2
20140939	2992363	5	1	5	34	107.25966776709	1	2				1	2	2	1				4	1				5261		2
20140939	2992363	6	1	6	37	107.25966776709	1	2				1	2	1	0				1					111		2
20140939	2992363	7	1	7	14	107.25966776709	1	2				1	1			3	9	1	3	2	2	2				2
20140939	2992364	1	1	1	42	267.086580372616	1	2				1	2	5	11				1					111		2
20140939	2992364	2	1	2	24	267.086580372616	1	2				1	2	5	11				4	2	1			5211		2
20140939	2992364	3	1	3	0	267.086580372616	1	2		2	2															
20140939	2992365	1	1	1	35	182.011721164322	1	2				1	2	3	4				1					111		2
20140939	2992365	2	1	2	46	182.011721164322	1	2				1	2	3	4				1					111		2
20140939	2992365	3	1	3	13	182.011721164322	1	2				1	1			3	7	2	3	2	2	2				2
20140939	2992366	1	1	1	74	81.1518813827729	1	2				1	2	3	4				4	2	2	2				2
20140939	2992366	2	1	2	77	81.1518813827729	1	2				2	2	1	0				4	2	2	2				2
20140939	2992366	3	1	3	47	81.1518813827729	1	2				2	2	1	0				1					116		2
20140939	2992367	1	1	1	81	721.862924933422	1	2				1	2	3	4				1					121		1
20140939	2992367	2	1	2	24	721.862924933422	1	2				1	2	5	11				4	2	2	2				2
